genus,species,specimen,individual,counter,bud,flwr,immFrt,fillFrt,infFrt,unfFrt,infFlwr,infImmFrt,infBud,unkRepStr,initials,entire_plant_confidence,early_herbivory,late_herbivory,number_repro_branches,stem_diam_cm,folder,day,month,year,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters
c,coulteri,208352,1,an,0,31,6,4,0,0,0,0,10,0,an,yes_assumed,no,no,7,0.225,c_coulteri,12,4,1949,35.034555,-119.87585,1000,500,600
c,coulteri,208352,2,an,0,6,2,0,0,0,0,0,2,0,an,yes_roots,no,no,2,0.214,c_coulteri,12,4,1949,35.034555,-119.87585,1000,500,600
c,coulteri,295209,1,an,8,9,8,3,0,0,1,0,1,0,an,yes_assumed,no,no,3,0.205,c_coulteri,27,4,1982,35.516012,-118.681032,1000,650,730
c,coulteri,295229,1,an,10,9,1,0,0,0,0,0,7,0,an,yes_roots,no,no,3,0.593,c_coulteri,8,3,1982,35.53764,-118.70956,500,1310,1349
c,coulteri,303049,1,mb,1,8,3,0,0,0,0,0,0,0,mb,yes_roots,yes,yes,1,0.455,c_coulteri,11,4,1958,35.2609,-117.9737,500,624,NA
c,coulteri,303049,2,ej,2,2,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.285,c_coulteri,11,4,1958,35.2609,-117.9737,500,624,NA
c,coulteri,303049,3,ej,2,5,0,3,0,0,0,1,0,0,ej,yes_roots,no,no,1,0.255,c_coulteri,11,4,1958,35.2609,-117.9737,500,624,NA
c,coulteri,303050,1,ej,0,4,1,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.215,c_coulteri,25,3,1979,36.820653,-119.384287,500,160,200
c,coulteri,303050,2,ej,1,4,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.23,c_coulteri,25,3,1979,36.820653,-119.384287,500,160,200
c,coulteri,303051,1,ej,2,15,0,8,1,6,1,0,0,0,ej,unsure,no,no,1,0.624,c_coulteri,4,4,1979,36.715483,-119.338746,200,170,290
c,coulteri,303051,2,ej,1,9,3,3,1,0,0,0,0,0,ej,yes_assumed,no,no,1,0.397,c_coulteri,4,4,1979,36.715483,-119.338746,200,170,290
s,glandulosus,1299060,1,mb,7,5,0,0,0,0,0,0,0,0,mb,yes_roots,yes,no,2,0.239,s_glandulosus,9,5,1974,38.648425,-122.592845,200,784,NA
s,glandulosus,1299060,2,mb,2,14,0,0,0,0,0,0,1,0,mb,yes_roots,yes,yes,1,0.314,s_glandulosus,9,5,1974,38.648425,-122.592845,200,784,NA
s,glandulosus,1299060,3,mb,0,1,1,0,0,0,1,0,0,0,mb,yes_roots,no,no,2,0.09,s_glandulosus,9,5,1974,38.648425,-122.592845,200,784,NA
s,glandulosus,1299060,4,mb,6,7,2,1,1,0,0,0,0,0,mb,yes_roots,yes,no,2,0.227,s_glandulosus,9,5,1974,38.648425,-122.592845,200,784,NA
s,glandulosus,1299060,5,mb,0,4,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,2,0.132,s_glandulosus,9,5,1974,38.648425,-122.592845,200,784,NA
s,glandulosus,1299060,6,mb,0,5,0,0,0,1,0,10,0,0,mb,yes_roots,no,yes,3,0.141,s_glandulosus,9,5,1974,38.648425,-122.592845,200,784,NA
s,glandulosus,1300569,1,mb,27,15,2,0,1,0,0,0,0,0,mb,yes_roots,no,no,2,0.294,s_glandulosus,22,4,2000,38.81891,-122.336478,1500,433,580
s,glandulosus,1300569,2,mb,4,3,0,0,0,3,0,4,0,0,mb,yes_roots,no,no,1,0.102,s_glandulosus,22,4,2000,38.81891,-122.336478,1500,433,580
s,glandulosus,1305234,1,mb,6,4,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,2,0.144,s_glandulosus,11,5,1967,38.4875,-122.38889,4000,90,310
s,glandulosus,1305234,2,mb,6,5,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,2,0.161,s_glandulosus,11,5,1967,38.4875,-122.38889,4000,90,310
s,glandulosus,1305234,3,mb,15,13,1,0,0,0,0,0,0,0,mb,yes_roots,no,no,2,0.24,s_glandulosus,11,5,1967,38.4875,-122.38889,4000,90,310
s,glandulosus,1305234,4,mb,4,4,0,0,0,0,1,0,0,0,mb,yes_roots,no,no,2,0.16,s_glandulosus,11,5,1967,38.4875,-122.38889,4000,90,310
s,glandulosus,1307315,1,mb,15,4,0,0,0,0,0,0,1,0,mb,yes_roots,no,no,3,0.215,s_glandulosus,24,3,1953,38.501135,-122.287419,3000,146,360
s,glandulosus,1307315,2,mb,32,3,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,4,0.232,s_glandulosus,24,3,1953,38.501135,-122.287419,3000,146,360
s,glandulosus,1333824,1,mb,10,3,0,0,0,0,0,7,0,0,mb,yes_roots,no,yes,1,0.183,s_glandulosus,27,4,1996,38.483258,-122.241009,1000,384,NA
s,glandulosus,1333825,1,mb,1,1,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,1,0.056,s_glandulosus,29,3,1986,38.68361111,-122.3783333,5000,139,470
s,glandulosus,1333825,2,mb,3,2,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,1,0.127,s_glandulosus,29,3,1986,38.68361111,-122.3783333,5000,139,470
s,glandulosus,1333825,3,mb,3,1,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,1,0.052,s_glandulosus,29,3,1986,38.68361111,-122.3783333,5000,139,470
s,glandulosus,1333826,1,mb,4,4,1,0,0,0,0,0,0,0,mb,yes_roots,no,no,1,0.124,s_glandulosus,22,3,1986,38.4812,-122.1256,1500,310,460
s,glandulosus,1333826,2,mb,1,4,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,1,0.095,s_glandulosus,22,3,1986,38.4812,-122.1256,1500,310,460
s,glandulosus,1335285,1,mb,19,16,4,15,0,0,0,1,1,0,mb,yes_roots,no,yes,4,0.416,s_glandulosus,28,5,2003,37.408611,-121.410833,200,413,NA
s,glandulosus,1335286,1,mb,47,11,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,7,0.259,s_glandulosus,27,5,2003,37.464722,-121.771667,1000,271,NA
s,glandulosus,1335287,1,mb,1,4,2,14,1,11,0,0,0,0,mb,unsure,no,no,1,0.206,s_glandulosus,27,5,2003,37.513056,-121.8075,100,364,NA
s,glandulosus,1335287,2,mb,3,5,0,0,1,2,0,0,0,0,mb,yes_roots,no,no,1,0.122,s_glandulosus,27,5,2003,37.513056,-121.8075,100,364,NA
s,glandulosus,1335287,3,mb,6,4,0,0,0,0,0,0,0,0,mb,yes_roots,no,no,1,0.15,s_glandulosus,27,5,2003,37.513056,-121.8075,100,364,NA
s,glandulosus,1335288,1,mb,1,6,2,3,0,0,0,0,0,0,mb,yes_roots,no,no,1,0.198,s_glandulosus,22,5,2003,37.510556,-121.830556,100,184,NA
s,glandulosus,1335288,2,mb,2,20,2,2,0,2,0,7,0,0,mb,yes_roots,no,no,4,0.23,s_glandulosus,22,5,2003,37.510556,-121.830556,100,184,NA
s,glandulosus,1335291,1,mb,18,8,1,1,0,0,0,0,0,0,mb,yes_roots,no,no,4,0.217,s_glandulosus,22,5,2003,37.487385,-121.812064,100,279,NA
s,glandulosus,1335291,2,mb,11,6,1,0,0,0,0,0,0,0,mb,yes_roots,no,no,3,0.17,s_glandulosus,22,5,2003,37.487385,-121.812064,100,279,NA
s,glandulosus,305348,1,mb,27,10,0,0,0,0,0,0,0,0,mb,yes_roots,no,yes,4,0.36,s_glandulosus,22,4,1950,38.4914,-122.2951,2000,226,290
s,glandulosus,305348,2,mb,22,5,2,0,0,0,1,0,0,0,mb,yes_roots,no,no,3,0.324,s_glandulosus,22,4,1950,38.4914,-122.2951,2000,226,290
s,glandulosus,305349,1,mb,4,17,1,55,2,15,3,0,0,0,mb,yes_assumed,no,yes,7,0.491,s_glandulosus,14,6,1963,35.917517,-120.410384,900,550,650
c,amplexicaulis,112899,1,an,11,10,0,9,0,1,1,0,0,0,an,yes_roots,no,no,2,0.486,c_amplexicaulis,21,5,1961,34.718709,-119.922584,500,1036,NA
c,amplexicaulis,1401922,1,an,4,10,1,3,0,0,1,0,0,1,an,yes_roots,no,no,1,0.302,c_amplexicaulis,4,5,2010,34.773611,-119.986111,200,739,NA
s,barbatus,1332138,1,lrs,5,5,2,0,7,2,0,2,0,3,lrs,yes_roots,yes,no,2,0.168,s_barbatus,15,7,1997,40.45025,-123.161688,3000,750,NA
s,barbatus,1332138,2,lrs,0,0,2,5,3,4,0,1,0,1,lrs,yes_roots,no,no,1,0.215,s_barbatus,15,7,1997,40.45025,-123.161688,3000,750,NA
s,barbatus,1332138,3,lrs,2,5,3,5,18,7,0,3,0,1,lrs,yes_roots,no,no,2,0.277,s_barbatus,15,7,1997,40.45025,-123.161688,3000,750,NA
s,barbatus,1333743,1,lrs,0,3,5,0,2,7,0,2,0,1,lrs,yes_roots,no,yes,2,0.331,s_barbatus,17,8,2008,41.245042,-122.641572,200,1006,NA
s,barbatus,1333744,2,lrs,15,5,2,2,23,5,0,1,0,0,lrs,yes_assumed,no,yes,2,0.266,s_barbatus,17,8,2008,41.202739,-122.646144,200,914,NA
s,barbatus,1333833,1,lrs,0,0,0,6,12,13,0,0,0,0,lrs,yes_roots,yes,yes,1,0.285,s_barbatus,17,8,2008,41.202739,-122.646144,200,914,NA
s,barbatus,1333833,2,lrs,5,0,2,7,2,6,0,0,0,0,lrs,unsure,no,no,1,0.108,s_barbatus,17,8,2008,41.202739,-122.646144,200,914,NA
s,barbatus,1333834,1,lrs,5,0,3,17,10,12,0,0,0,0,lrs,yes_roots,no,yes,1,0.249,s_barbatus,17,8,2008,41.202739,-122.646144,200,914,NA
s,barbatus,1368798,1,lrs,14,0,0,0,0,0,0,0,0,0,lrs,yes_roots,no,no,1,0.263,s_barbatus,15,6,1980,41.306733,-122.569171,1000,1372,1600
s,barbatus,1368800,1,lrs,0,2,1,3,0,2,0,1,0,0,lrs,yes_assumed,yes,no,1,0.17,s_barbatus,17,7,1986,41.08933,-122.708713,500,760,NA
s,barbatus,1368801,1,lrs,34,3,0,0,0,0,0,0,0,1,lrs,yes_roots,yes,no,2,0.311,s_barbatus,17,6,1972,40.247826,-122.89658,250,1613,NA
s,barbatus,1368801,2,lrs,18,0,0,0,0,0,0,0,0,0,lrs,yes_roots,no,no,1,0.239,s_barbatus,17,6,1972,40.247826,-122.89658,250,1613,NA
s,barbatus,1399996,1,lrs,12,6,0,0,6,0,0,0,0,0,lrs,yes_roots,no,no,1,0.21,s_barbatus,1,7,1973,40.565,-123.312778,818,1150,NA
s,barbatus,1399996,2,lrs,15,4,0,0,0,0,0,0,0,1,lrs,yes_roots,no,no,1,0.182,s_barbatus,1,7,1973,40.565,-123.312778,818,1150,NA
s,barbatus,1401970,1,lrs,3,3,6,40,11,2,0,0,0,0,lrs,yes_assumed,no,no,2,0.372,s_barbatus,28,8,2010,41.235556,-122.653056,200,1109,NA
s,barbatus,1401971,1,lrs,10,5,0,0,0,2,0,0,0,1,lrs,yes_assumed,no,yes,2,0.245,s_barbatus,28,8,2010,41.263889,-122.692222,200,1589,NA
s,barbatus,1402085,1,lrs,14,12,0,0,5,0,0,0,0,2,lrs,yes_roots,yes,no,1,0.192,s_barbatus,1,7,2010,40.364722,-123.086944,800,1251,NA
s,barbatus,1402088,1,lrs,0,6,0,0,0,0,0,0,0,0,lrs,yes_assumed,no,yes,1,0.212,s_barbatus,1,7,2010,41.236667,-122.655278,800,1067,NA
s,barbatus,1402088,2,lrs,20,7,0,0,0,0,0,0,0,0,lrs,yes_assumed,no,no,1,0.204,s_barbatus,1,7,2010,41.236667,-122.655278,800,1067,NA
s,barbatus,208339,1,lrs,4,8,3,12,0,2,1,0,0,0,lrs,yes_roots,yes,no,1,0.284,s_barbatus,21,7,1992,41.27165,-122.71727,107,1830,NA
s,barbatus,C61123,1,lrs,21,10,0,0,0,3,0,0,0,3,lrs,yes_assumed,no,no,4,0.349,s_barbatus,NA,7,1915,41.163223,-122.331744,10000,800,1300
s,barbatus,C61124,1,lrs,16,3,0,0,0,0,0,0,0,0,lrs,yes_roots,no,no,1,0.254,s_barbatus,NA,7,1958,40.551742,-123.185505,5000,700,1400
s,barbatus,C61124,2,lrs,13,0,0,0,0,0,0,0,2,2,lrs,yes_roots,no,no,1,0.14,s_barbatus,NA,7,1958,40.551742,-123.185505,5000,700,1400
s,barbatus,C61125,3,lrs,23,2,0,0,0,0,0,0,0,0,lrs,yes_roots,no,no,2,0.448,s_barbatus,29,6,1913,41.32033,-122.37649,2000,1000,1400
s,barbatus,C61126,1,lrs,18,5,1,3,0,0,1,0,0,1,lrs,yes_roots,no,no,2,0.156,s_barbatus,16,7,1918,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61126,2,lrs,11,7,5,0,0,0,0,0,0,0,lrs,yes_roots,no,no,1,0.211,s_barbatus,16,7,1918,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61126,3,lrs,2,3,2,1,1,2,0,0,0,4,lrs,yes_roots,no,no,1,0.181,s_barbatus,16,7,1918,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61127,1,lrs,7,3,0,0,0,0,0,0,0,0,lrs,yes_roots,no,no,1,0.216,s_barbatus,16,7,1918,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61127,2,lrs,4,3,2,4,2,0,0,0,0,1,lrs,yes_roots,no,no,2,0.237,s_barbatus,16,7,1918,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61127,3,lrs,2,2,4,0,0,0,1,0,0,1,lrs,yes_roots,no,no,1,0.135,s_barbatus,16,7,1918,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61128,1,lrs,16,9,2,0,0,0,1,0,0,0,lrs,yes_roots,no,no,1,0.198,s_barbatus,23,7,1912,41.2653,-122.28925,1220,840,940
s,barbatus,C61128,2,lrs,44,36,11,3,0,0,0,1,1,4,lrs,yes_roots,no,yes,3,0.307,s_barbatus,23,7,1912,41.2653,-122.28925,1220,840,940
s,barbatus,C61129,2,lrs,10,6,7,18,3,4,0,2,0,2,lrs,yes_roots,no,no,1,0.328,s_barbatus,30,8,1912,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61129,3,lrs,11,9,2,17,1,1,0,0,0,1,lrs,yes_assumed,no,no,1,0.197,s_barbatus,30,8,1912,41.323897,-122.437344,2000,2134,NA
s,barbatus,C61131,1,lrs,0,0,0,7,3,2,0,0,0,1,lrs,yes_roots,no,yes,1,0.172,s_barbatus,5,9,1956,41.30566,-122.435518,4000,1400,1800
s,barbatus,C61131,2,lrs,0,0,0,14,4,5,0,0,0,6,lrs,yes_roots,no,yes,2,0.18,s_barbatus,5,9,1956,41.30566,-122.435518,4000,1400,1800
s,breweri,1302264,1,ej,41,19,7,6,0,3,0,1,0,0,ej,yes_roots,no,no,9,0.164,s_breweri,2,6,2002,38.858889,-122.41,200,610,NA
s,breweri,1302264,2,ej,8,8,2,2,0,3,0,0,0,0,ej,yes_roots,no,no,3,0.114,s_breweri,2,6,2002,38.858889,-122.41,200,610,NA
s,breweri,1302375,1,ej,63,41,5,46,0,5,0,7,0,0,ej,yes_assumed,no,no,10,0.32,s_breweri,5,7,2002,38.859444,-122.41805600000001,200,640,NA
s,breweri,1310147,1,ej,2,9,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.159,s_breweri,19,5,1958,39.298508,-122.530976,2000,380,450
s,breweri,1310147,2,ej,32,1,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,3,0.282,s_breweri,19,5,1958,39.298508,-122.530976,2000,380,450
s,breweri,1331580,1,ej,7,16,3,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.158,s_breweri,31,5,2008,39.29081916,-122.56763,500,460,NA
s,breweri,1331580,2,ej,5,7,2,0,0,0,0,0,0,0,ej,yes_assumed,no,no,1,0.165,s_breweri,31,5,2008,39.29081916,-122.56763,500,460,NA
s,breweri,1332281,1,ej,0,2,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.075,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,10,ej,0,1,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.067,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,11,ej,4,12,2,2,0,0,2,0,0,0,ej,yes_roots,no,no,2,0.096,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,2,ej,0,5,3,1,2,0,0,2,0,0,ej,yes_roots,no,no,1,0.114,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,3,ej,0,1,2,0,0,0,0,4,0,0,ej,yes_roots,no,no,1,0.084,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,4,ej,0,3,1,1,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.077,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,5,ej,5,7,1,3,5,0,0,0,0,0,ej,yes_roots,no,no,1,0.135,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,6,ej,0,9,1,7,1,0,0,2,0,0,ej,yes_roots,no,no,1,0.114,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,7,ej,0,2,3,1,0,1,0,0,0,0,ej,yes_roots,no,no,1,0.1,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,8,ej,3,4,0,0,0,0,0,0,0,1,ej,yes_roots,no,no,1,0.072,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332281,9,ej,0,3,1,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.084,s_breweri,24,6,1998,39.01718,-122.38907,897,370,NA
s,breweri,1332456,1,ej,28,8,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,5,0.174,s_breweri,4,5,1997,38.820556,-122.353333,500,414,483
s,breweri,1332494,1,ej,2,0,2,4,25,1,0,0,0,0,ej,yes_assumed,no,no,3,0.169,s_breweri,6,6,1988,39.25352,-122.60931,9175,517,NA
s,breweri,1332495,1,ej,0,8,0,0,33,1,0,0,0,0,ej,yes_roots,no,yes,8,0.517,s_breweri,6,6,1988,39.25352,-122.60931,9175,517,NA
s,breweri,1333820,1,ej,17,14,3,1,0,0,0,9,0,0,ej,yes_roots,no,yes,6,0.391,s_breweri,11,6,1980,38.495884,-122.246177,200,195,NA
s,breweri,1333828,1,ej,30,22,0,7,17,9,0,13,0,0,ej,yes_roots,no,no,9,0.336,s_breweri,4,6,2005,38.773423,-122.402681,200,201,NA
s,breweri,1363413,1,ej,6,6,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.113,s_breweri,11,6,2011,39.0275875,-122.4517227,200,655,NA
s,breweri,1363413,2,ej,10,3,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.149,s_breweri,11,6,2011,39.0275875,-122.4517227,200,655,NA
s,breweri,1363413,3,ej,0,6,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.098,s_breweri,11,6,2011,39.0275875,-122.4517227,200,655,NA
s,breweri,1368816,1,ej,0,10,8,15,1,7,0,6,0,0,ej,yes_roots,no,no,7,0.238,s_breweri,16,6,1981,38.725,-122.512834,10000,300,500
s,breweri,1368816,2,ej,1,6,0,8,0,13,3,0,0,0,ej,yes_roots,no,no,5,0.123,s_breweri,16,6,1981,38.725,-122.512834,10000,300,500
s,breweri,1368816,3,ej,0,2,0,9,0,8,0,0,0,0,ej,yes_roots,no,no,3,0.13,s_breweri,16,6,1981,38.725,-122.512834,10000,300,500
s,breweri,1368816,4,ej,0,1,4,6,0,5,0,0,0,0,ej,yes_roots,no,no,2,0.131,s_breweri,16,6,1981,38.725,-122.512834,10000,300,500
s,breweri,1368819,1,ej,0,1,1,12,0,7,0,0,0,1,ej,yes_roots,no,no,2,0.15,s_breweri,20,6,1987,38.7619248,-122.41986,200,268,NA
s,breweri,1368819,2,ej,1,7,0,41,0,12,0,0,0,0,ej,yes_roots,no,no,4,0.225,s_breweri,20,6,1987,38.7619248,-122.41986,200,268,NA
s,breweri,1368824,1,ej,0,3,3,1,0,4,0,0,0,0,ej,yes_roots,no,no,1,0.152,s_breweri,24,6,1998,39.01718,-122.38907,5000,370,NA
s,breweri,1368824,2,ej,0,4,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.06,s_breweri,24,6,1998,39.01718,-122.38907,5000,370,NA
s,breweri,1368824,3,ej,18,6,4,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.075,s_breweri,24,6,1998,39.01718,-122.38907,5000,370,NA
s,breweri,208341,1,ej,0,0,6,19,14,0,0,0,0,0,ej,yes_roots,no,no,5,0.127,s_breweri,4,7,1946,38.408765,-122.985028,1000,240,300
s,breweri,208341,2,ej,1,15,4,4,0,0,0,4,0,0,ej,yes_roots,no,yes,7,0.14,s_breweri,4,7,1946,38.408765,-122.985028,1000,240,300
s,breweri,208341,3,ej,0,8,3,8,1,0,0,7,0,0,ej,yes_roots,no,no,5,0.124,s_breweri,4,7,1946,38.408765,-122.985028,1000,240,300
s,breweri,208341,4,ej,0,0,2,3,21,0,0,0,0,0,ej,yes_roots,no,no,6,0.116,s_breweri,4,7,1946,38.408765,-122.985028,1000,240,300
s,breweri,208341,5,ej,0,6,0,4,12,1,0,0,0,0,ej,yes_roots,no,no,6,0.143,s_breweri,4,7,1946,38.408765,-122.985028,1000,240,300
s,breweri,208342,1,ej,2,3,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,2,0.132,s_breweri,22,5,1940,38.752416,-122.559026,500,350,450
s,breweri,208342,2,ej,11,6,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,4,0.138,s_breweri,22,5,1940,38.752416,-122.559026,500,350,450
s,breweri,208344,1,ej,23,9,0,0,0,0,1,0,0,0,ej,yes_assumed,no,no,3,0.185,s_breweri,28,5,1966,38.67332,-122.44469,1000,215,325
s,breweri,208344,2,ej,9,4,0,0,0,0,0,0,0,0,ej,yes_roots,no,no,1,0.133,s_breweri,28,5,1966,38.67332,-122.44469,1000,215,325
s,breweri,208344,3,ej,14,31,0,0,0,1,0,0,0,0,ej,yes_roots,no,no,4,0.192,s_breweri,28,5,1966,38.67332,-122.44469,1000,215,325
s,breweri,208345,1,ej,0,17,6,8,0,3,0,0,0,0,ej,yes_assumed,no,no,4,0.15,s_breweri,24,5,1969,37.421443,-121.373089,10000,200,400
s,breweri,208345,2,ej,17,88,29,58,0,11,0,0,0,0,ej,yes_roots,no,no,18,0.336,s_breweri,24,5,1969,37.421443,-121.373089,10000,200,400
s,breweri,208345,3,ej,6,51,1,15,0,4,0,0,0,0,ej,yes_roots,no,no,8,0.157,s_breweri,24,5,1969,37.421443,-121.373089,10000,200,400
s,breweri,610350,1,ej,2,24,8,34,2,27,0,0,0,0,ej,yes_roots,no,no,8,0.243,s_breweri,6,6,1968,39.37,-122.63,1000,415,605
s,breweri,610350,2,ej,23,19,5,4,0,8,0,0,0,0,ej,yes_roots,yes,yes,6,0.224,s_breweri,6,6,1968,39.37,-122.63,1000,415,605
s,breweri,610350,3,ej,58,86,17,18,0,4,0,3,0,0,ej,yes_roots,no,no,8,0.495,s_breweri,6,6,1968,39.37,-122.63,1000,415,605
s,cordatus,1049631,1,IRC,15,13,16,23,4,0,0,0,6,3,irc,yes_assumed,no,yes,9,0.701,s_cordatus,18,6,2014,37.353874,-118.18366,300,2700,2800
s,cordatus,1095753,1,IRC,67,71,27,34,8,11,2,0,0,4,irc,yes_assumed,yes,yes,11,0.529,s_cordatus,17,6,1994,35.566427,-118.497599,500,1200,1330
s,cordatus,1130778,1,IRC,7,23,4,12,3,0,0,0,0,1,irc,yes_roots,no,yes,2,0.508,s_cordatus,18,6,1994,36.033931,-118.193182,500,2230,NA
s,cordatus,1194682,1,IRC,3,30,9,11,0,0,0,0,0,17,irc,yes_assumed,no,no,3,0.723,s_cordatus,4,7,1983,36.220541,-117.083979,500,2400,3044
s,cordatus,1194682,2,IRC,26,9,2,0,0,0,0,0,0,2,irc,yes_assumed,yes,yes,2,0.448,s_cordatus,4,7,1983,36.220541,-117.083979,500,2400,3044
s,cordatus,1209653,1,IRC,24,10,0,0,0,0,0,0,0,0,irc,yes_roots,yes,yes,2,0.273,s_cordatus,9,5,2014,35.655629,-118.059444,500,1778,NA
s,cordatus,1218304,1,IRC,14,23,3,3,0,0,0,0,0,0,irc,yes_roots,yes,no,2,0.419,s_cordatus,2,6,2015,35.86646,-118.042571,200,2421,NA
s,cordatus,1218304,2,IRC,0,14,13,10,4,4,0,0,0,0,irc,yes_assumed,no,no,2,0.35,s_cordatus,2,6,2015,35.86646,-118.042571,200,2421,NA
