species,specimen,long,lat,elev_m,collection_year,collection_month,collection_day,collection_date,collection_DOWY,sept_1_date,first_rain_date,first_rain_DOWY,season_length,first_14dry_date,first_14dry_DOWY,coll_rel_dry,mid_DOWY,early_ppt,late_ppt,GDD,number_of_small_events,total_ppt_mm_prism,total_rain_events,tmean_first_rain_to_coll,day_first_rain_to_coll
amplexicaulis,1474187,-117.6116,34.2446,1988,1994,7,22,1994-07-22,324,1993-09-01,1993-10-11,40,284,1994-05-27,268,56,182,470.56,300.40000000000003,671.7,4,770.96,18,8.592631578947369,284
amplexicaulis,1483280,-117.0013,34.071,1337,1999,6,19,1999-06-19,291,1998-09-01,1999-01-26,147,144,1999-06-06,278,13,219,108.46000000000001,88.38000000000001,529.4,11,196.84,17,10.191724137931034,144
amplexicaulis,1537967,-117.0467,34.2247,2111,2003,6,16,2003-06-16,288,2002-09-01,2002-11-08,68,220,2003-05-09,250,38,178,460.74,286.79,697.7,9,747.53,19,7.041176470588235,220
amplexicaulis,1566420,-117.6149,34.2737,2421,2001,6,11,2001-06-11,283,2000-09-01,2000-10-26,55,228,2001-04-24,235,48,169,366.85,285.15000000000003,506.3,11,652,18,4.283406113537118,228
amplexicaulis,1566547,-117.7686,34.3902,2091,1992,5,25,1992-05-25,267,1991-09-01,1991-10-26,55,212,1992-04-04,216,51,161,296.36,465.42,511.90000000000003,9,761.7800000000001,16,5.8272300469483564,212
amplexicaulis,1599048,-117.6432,34.2458,1988,1996,7,9,1996-07-09,312,1995-09-01,1995-12-12,102,210,1996-04-20,232,80,207,1057.96,85,554.55,5,1142.96,16,8.971563981042655,210
amplexicaulis,1600162,-117.6323,34.2948,2421,1996,8,19,1996-08-19,353,1995-09-01,1995-12-13,103,250,1996-04-20,232,121,NA,NA,NA,NA,7,934.55,17,NA,NA
amplexicaulis,1608923,-117.7043,34.3431,1767,1998,7,10,1998-07-10,312,1997-09-01,1997-09-25,24,288,1998-04-18,229,83,168,526.23,640.15,836.55,10,1166.38,23,7.881314878892733,288
amplexicaulis,1611998,-117.7196,34.4027,1635,1998,7,6,1998-07-06,308,1997-09-01,1997-09-25,24,284,1998-04-18,229,79,166,292.67,342.44,1013.6,17,635.11,28,8.26,284
amplexicaulis,1622921,-117.8371,34.4093,1378,2008,5,13,2008-05-13,255,2007-09-01,2008-01-05,126,129,2008-04-01,213,42,190.5,155.71,5.67,726.1,2,161.38,5,8.906153846153845,129
amplexicaulis,1623320,-117.8101,34.3975,1586,2008,5,5,2008-05-05,247,2007-09-01,2008-01-05,126,121,2008-04-01,213,34,186.5,177.31,6.72,527.15,2,184.03,5,7.689344262295082,121
amplexicaulis,1623724,-117.8378,34.3964,1378,2008,6,10,2008-06-10,283,2007-09-01,2008-01-05,126,157,2008-04-01,213,70,204.5,160.9,17.79,888.55,2,178.69,6,10.200632911392406,157
amplexicaulis,1626795,-117.8964,34.4027,1664,2008,6,18,2008-06-18,291,2007-09-01,2008-01-05,126,165,2008-04-05,217,74,208.5,239.31,22.18,743.3,4,261.49,8,9.587951807228915,165
amplexicaulis,1632874,-118.091,34.3741,1578,2008,5,27,2008-05-27,269,2007-09-01,2007-09-20,19,250,2008-04-04,216,53,144,264.31,280.08,515.85,8,544.39,18,9.421115537848605,250
amplexicaulis,1645074,-116.9123,34.211,2087,2009,6,2,2009-06-02,274,2008-09-01,2008-11-26,86,188,2009-04-16,227,47,180,387.08,20.91,877.65,6,407.99,14,5.492063492063492,188
amplexicaulis,1669810,-118.4459,34.3724,643,2010,6,21,2010-06-21,293,2009-09-01,2009-10-14,43,250,2010-04-29,240,53,168,388.19,136.35,745,11,524.54,21,13.732270916334661,250
amplexicaulis,1686406,-118.0941,34.4182,1385,2011,5,12,2011-05-12,253,2010-09-01,2010-10-18,47,206,2011-04-20,231,22,150,357.45,252.88,449.25,11,610.33,22,8.882125603864734,206
amplexicaulis,1686495,-118.0287,34.297,1393,2011,6,14,2011-06-14,286,2010-09-01,2010-10-05,34,252,2011-04-20,231,55,160,517.49,353.1,394.7,11,870.59,23,9.849802371541502,252
amplexicaulis,1687978,-118.1075,34.303,1339,2011,5,19,2011-05-19,260,2010-09-01,2010-11-20,80,180,2011-04-10,221,39,170,506.88,327.1,308.5,5,833.98,16,8.738674033149172,180
amplexicaulis,1687996,-118.108,34.3447,1147,2011,5,31,2011-05-31,272,2010-09-01,2010-12-16,106,166,2011-04-10,221,51,189,541.1899999999999,171.13,403.25,5,712.3199999999999,13,9.78562874251497,166
amplexicaulis,1689523,-117.9937,34.296,1517,2011,6,22,2011-06-22,294,2010-09-01,2010-10-05,34,260,2011-04-20,231,63,164,554,372.78000000000003,505.75,12,926.78,24,9.331417624521073,260
amplexicaulis,172720,-119.9809,34.7902,673,1994,5,24,1994-05-24,265,1993-09-01,1993-12-11,101,164,1994-05-21,262,3,183,260.26,114.7,526.05,5,374.96,15,11.958181818181819,164
amplexicaulis,172721,-119.9417,34.7318,897,1994,4,9,1994-04-09,220,1993-09-01,1993-12-11,101,119,1994-05-21,262,-42,160.5,172.53,197.13,293.35,2,372.27,11,10.603333333333333,119
amplexicaulis,2087986,-117.9089,34.3503,1949,1990,7,19,1990-07-19,321,1989-09-01,1989-09-17,16,305,1990-05-03,244,77,168.5,263.05,160.58,590.05,8,423.63,18,9.555555555555555,305
amplexicaulis,20994519,-118.0936,34.4181,1385,2011,5,12,2011-05-12,253,2010-09-01,2010-10-18,47,206,2011-04-20,231,22,150,357.45,252.88,449.25,11,610.33,22,8.882125603864734,206
amplexicaulis,20995222,-118.0289,34.2972,1393,2011,6,14,2011-06-14,286,2010-09-01,2010-10-05,34,252,2011-04-20,231,55,160,517.49,353.1,394.7,11,870.59,23,9.849802371541502,252
amplexicaulis,23089786,-118.4401,34.3594,643,1993,5,13,1993-05-13,254,1992-09-01,1992-10-30,59,195,1993-04-01,212,42,156.5,616.39,343.82,427.6,4,960.2099999999999,14,12.05,195
amplexicaulis,3718719,-117.6116,34.2446,1988,1994,7,22,1994-07-22,324,1993-09-01,1993-10-11,40,284,1994-05-27,268,56,182,470.56,300.40000000000003,671.7,4,770.96,18,8.592631578947369,284
amplexicaulis,3793922,-117.7022,34.3433,1767,1998,7,10,1998-07-10,312,1997-09-01,1997-09-25,24,288,1998-04-18,229,83,168,526.23,640.15,836.55,10,1166.38,23,7.881314878892733,288
amplexicaulis,466716,-117.7424,34.3584,2091,1993,6,2,1993-06-02,274,1992-09-01,1992-12-04,94,180,1993-04-01,212,62,184,1127.15,23.13,441.8,5,1150.28,13,5.569613259668508,180
amplexicaulis,466742,-117.8089,34.3978,1586,2008,5,5,2008-05-05,247,2007-09-01,2008-01-05,126,121,2008-04-01,213,34,186.5,177.31,6.72,527.15,2,184.03,5,7.689344262295082,121
amplexicaulis,466870,-118.1147,34.3075,1339,2011,5,19,2011-05-19,260,2010-09-01,2010-11-20,80,180,2011-04-10,221,39,170,506.88,327.1,308.5,5,833.98,16,8.738674033149172,180
amplexicaulis,664763,-118.0321,34.4601,1228,1995,4,11,1995-04-11,222,1994-09-01,1995-01-04,125,97,1995-04-01,212,10,173.5,292.34,131.14,259.95,4,423.48,10,8.724489795918368,97
amplexicaulis,702165,-116.9358,34.0241,1762,1996,7,3,1996-07-03,306,1995-09-01,1996-01-22,143,163,1996-04-03,215,91,224.5,479.55,13.14,606.3,4,492.69,11,10.788414634146342,163
amplexicaulis,776408,-118.0287,34.297,1393,2011,6,14,2011-06-14,286,2010-09-01,2010-10-05,34,252,2011-04-20,231,55,160,517.49,353.1,394.7,11,870.59,23,9.849802371541502,252
amplexicaulis,793215,-118.1977,34.4392,909,2015,4,7,2015-04-07,218,2014-09-01,2014-11-30,90,128,2015-04-01,212,6,154,110.00999999999999,24.84,472.55,6,134.85,11,12.392248062015504,128
amplexicaulis,796870,-120.0057,34.8111,673,1994,5,24,1994-05-24,265,1993-09-01,1993-12-11,101,164,1994-05-21,262,3,183,260.26,114.7,526.05,5,374.96,15,11.958181818181819,164
amplexicaulis,8598665,-119.9417,34.7318,897,1994,4,9,1994-04-09,220,1993-09-01,1993-12-11,101,119,1994-05-21,262,-42,160.5,172.53,197.13,293.35,2,372.27,11,10.603333333333333,119
amplexicaulis,909027,-118.1148,34.3071,1339,2011,5,19,2011-05-19,260,2010-09-01,2010-11-20,80,180,2011-04-10,221,39,170,506.88,327.1,308.5,5,833.98,16,8.738674033149172,180
amplexicaulis,931194,-117.7424,34.3584,2091,1993,6,2,1993-06-02,274,1992-09-01,1992-12-04,94,180,1993-04-01,212,62,184,1127.15,23.13,441.8,5,1150.28,13,5.569613259668508,180
amplexicaulis,C38143,-118.1871,34.3925,1656,1990,5,31,1990-05-31,272,1989-09-01,1989-09-17,16,256,1990-05-03,244,28,144,188.02,199.05,505.3,9,387.07,18,9.204669260700388,256
amplexicaulis,C38144,-117.853,34.3197,2054,1990,6,25,1990-06-25,297,1989-09-01,1989-09-17,16,281,1990-05-02,243,54,156.5,307.7,237.73000000000002,537.25,6,545.43,18,7.926950354609929,281
amplexicaulis,C38145,-118.5339,34.6825,1331,1994,5,11,1994-05-11,252,1993-09-01,1993-12-11,101,151,1994-05-26,267,-15,176.5,286.11,90.23,216.25,4,376.34000000000003,12,9.351315789473684,151
amplexicaulis,UC1871023,-118.4347,34.3592,673,1993,5,13,1993-05-13,254,1992-09-01,1992-10-30,59,195,1993-04-01,212,42,156.5,655.32,360.9,422.8,4,1016.22,14,11.910714285714286,195
amplexicaulis,UC1929507,-118.0911,34.3784,1578,2008,5,27,2008-05-27,269,2007-09-01,2007-09-20,19,250,2008-04-04,216,53,144,264.31,280.08,515.85,8,544.39,18,9.421115537848605,250
amplexicaulis,UC1971133,-117.8585,34.3131,1563,1998,8,11,1998-08-11,344,1997-09-01,1997-09-25,24,320,1998-04-16,227,117,NA,NA,NA,NA,11,1404.61,25,NA,NA
anceps,1247810,-119.6589,35.0414,832,2005,3,26,2005-03-26,206,2004-09-01,2004-10-17,46,160,2005-04-10,221,-15,126,129.29,178.64,281.65,11,307.93,16,9.533540372670807,160
anceps,12597864,-120.2351,35.6802,625,2016,2,26,2016-02-26,178,2015-09-01,2016-01-05,126,52,2016-05-08,250,-72,152,91.89,38.89,200.2,3,130.78,7,9.420754716981133,52
anceps,1367093,-119.9873,35.3958,654,1995,4,1,1995-04-01,212,1994-09-01,1994-09-28,27,185,1995-05-18,259,-47,119.5,110.32,415.84,764.45,7,526.16,18,9.647849462365592,185
anceps,1367094,-120.01,35.4076,734,1993,4,3,1993-04-03,214,1992-09-01,1992-12-06,96,118,1993-04-01,212,2,155,181.51,199.81,377.45,5,381.32,13,8.674789915966386,118
anceps,1401896,-119.8556,35.2142,597,2010,4,1,2010-04-01,212,2009-09-01,2009-10-14,43,169,2010-04-29,240,-28,127.5,99.95,150.75,774.75,14,250.7,20,9.446470588235295,169
anceps,1401916,-119.4325,34.8783,1153,2010,5,2,2010-05-02,243,2009-09-01,2009-10-13,42,201,2010-04-24,235,8,142.5,148.95,142.65,968.35,13,291.6,21,8.093564356435644,201
anceps,1401919,-119.4325,34.8783,1153,2010,5,2,2010-05-02,243,2009-09-01,2009-10-13,42,201,2010-04-24,235,8,142.5,148.95,142.65,968.35,13,291.6,21,8.093564356435644,201
anceps,1402010,-119.4339,34.8781,1153,2013,3,23,2013-03-23,203,2012-09-01,2013-01-24,145,58,2013-04-02,213,-10,174,38.91,20.09,216.4,2,59,4,7.879661016949153,58
anceps,1474224,-119.1124,34.9426,899,1997,4,20,1997-04-20,231,1996-09-01,1996-10-30,59,172,1997-04-01,212,19,145,192.22,36.17,533.9,11,228.39000000000001,18,9.67456647398844,172
anceps,1474225,-119.3989,34.7366,1083,1992,4,25,1992-04-25,237,1991-09-01,1991-12-28,118,119,1992-04-04,216,21,177.5,360.44,126.93,393.75,3,487.37,8,9.831666666666667,119
anceps,172723,-120.2798,35.8379,490,2015,3,5,2015-03-05,185,2014-09-01,2014-11-01,61,124,2015-04-09,220,-35,123,156.31,57.48,550.3,6,213.79,11,10.8776,124
anceps,185896,-119.6581,35.0317,832,2005,3,24,2005-03-24,204,2004-09-01,2004-10-17,46,158,2005-04-10,221,-17,125,120.96,186.97,279,11,307.93,16,9.563522012578616,158
anceps,208329,-120.2804,35.3486,804,1984,3,25,1984-03-25,206,1983-09-01,1983-09-30,29,177,1984-04-20,232,-26,117.5,320.07,42.11,570.6,7,362.18,16,11.168539325842696,177
anceps,208924,-119.7167,35.0833,695,2001,4,12,2001-04-12,223,2000-09-01,2001-01-08,129,94,2001-04-23,234,-11,176,144.35,92.36,262.6,2,236.71,8,8.52421052631579,94
anceps,213139,-120.2351,35.6802,625,2016,2,26,2016-02-26,178,2015-09-01,2016-01-05,126,52,2016-05-08,250,-72,152,91.89,38.89,200.2,3,130.78,7,9.420754716981133,52
anceps,23361978,-119.1115,34.9435,899,1997,4,20,1997-04-20,231,1996-09-01,1996-10-30,59,172,1997-04-01,212,19,145,192.22,36.17,533.9,11,228.39000000000001,18,9.67456647398844,172
anceps,23361979,-119.4007,34.7389,1083,1992,4,25,1992-04-25,237,1991-09-01,1991-12-28,118,119,1992-04-04,216,21,177.5,360.44,126.93,393.75,3,487.37,8,9.831666666666667,119
anceps,3234175,-120.1214,35.5694,580,1986,3,16,1986-03-16,196,1985-09-01,1985-11-24,84,112,1986-04-08,219,-23,140,46.480000000000004,119.25,307.55,5,167.77,10,9.86283185840708,112
anceps,3265154,-119.6581,35.0317,832,2005,3,24,2005-03-24,204,2004-09-01,2004-10-17,46,158,2005-04-10,221,-17,125,120.96,186.97,279,11,307.93,16,9.563522012578616,158
anceps,3267528,-119.1247,34.7049,1718,1994,6,6,1994-06-06,278,1993-09-01,1994-02-08,160,118,1994-04-12,223,55,219,162.46,44.79,555.4499999999999,5,207.25,11,8.70672268907563,118
anceps,3368935,-120.7649,36.5306,645,1991,5,7,1991-05-07,248,1990-09-01,1991-02-28,180,68,1991-04-01,212,36,214,192,7.25,217.55,3,199.25,7,10.356521739130436,68
anceps,3422407,-118.7349,34.8225,1208,2013,4,20,2013-04-20,231,2012-09-01,2013-03-08,188,43,2013-04-18,229,2,209.5,57.13,6.1499999999999995,138.2,5,63.28,6,12.334090909090909,43
anceps,466847,-120.6667,36.5839,331,1995,5,18,1995-05-18,259,1994-09-01,1995-01-03,124,135,1995-05-17,258,1,191.5,285.35,66.95,356.35,6,352.3,14,12.120588235294118,135
anceps,610215,-119.9873,35.3958,654,1995,4,1,1995-04-01,212,1994-09-01,1994-09-28,27,185,1995-05-18,259,-47,119.5,110.32,415.84,764.45,7,526.16,18,9.647849462365592,185
anceps,8598667,-120.2798,35.8379,490,2015,3,5,2015-03-05,185,2014-09-01,2014-11-01,61,124,2015-04-09,220,-35,123,156.31,57.48,550.3,6,213.79,11,10.8776,124
anceps,8611847,-119.6581,35.0317,832,2005,3,24,2005-03-24,204,2004-09-01,2004-10-17,46,158,2005-04-10,221,-17,125,120.96,186.97,279,11,307.93,16,9.563522012578616,158
anceps,8634294,-120.2804,35.3486,804,1984,3,25,1984-03-25,206,1983-09-01,1983-09-30,29,177,1984-04-20,232,-26,117.5,320.07,42.11,570.6,7,362.18,16,11.168539325842696,177
anceps,8634890,-119.7167,35.0833,695,2001,4,12,2001-04-12,223,2000-09-01,2001-01-08,129,94,2001-04-23,234,-11,176,144.35,92.36,262.6,2,236.71,8,8.52421052631579,94
anceps,C434964,-118.6808,34.7708,1134,2006,4,28,2006-04-28,239,2005-09-01,2005-10-17,46,193,2006-04-19,230,9,142.5,158.14000000000001,202.28,383.45,18,360.42,24,8.454639175257732,193
anceps,C541448,-119.4278,34.8819,1153,2003,4,24,2003-04-24,235,2002-09-01,2002-11-08,68,167,2003-05-16,257,-22,151.5,100.77,209.04,709.8000000000001,10,309.81,16,8.416071428571428,167
breweri,12852278,-122.7676,39.3319,1304,1986,6,19,1986-06-19,291,1985-09-01,1985-09-07,6,285,1986-05-09,250,41,148.5,630.42,975.91,499.2,8,1606.33,22,9.350349650349651,285
breweri,12852285,-122.7944,39.3241,1069,1986,6,17,1986-06-17,289,1985-09-01,1985-09-07,6,283,1986-05-08,249,40,147.5,641.68,1006.29,583.65,7,1647.97,22,10.651760563380282,283
breweri,1302264,-122.41,38.8589,701,2002,6,2,2002-06-02,274,2001-09-01,2001-10-30,59,215,2002-05-02,243,31,166.5,706.77,138.71,620.25,11,845.48,26,10.160185185185185,215
breweri,1302375,-122.4181,38.8594,701,2002,7,5,2002-07-05,307,2001-09-01,2001-10-30,59,248,2002-05-02,243,64,183,733.59,111.89,816.05,11,845.48,26,11.829317269076306,248
breweri,1331580,-122.5676,39.2908,680,2008,5,31,2008-05-31,273,2007-09-01,2007-12-02,92,181,2008-04-01,213,60,182.5,480.6,12.86,578.65,6,493.46,13,9.472527472527473,181
breweri,1332281,-122.3891,39.0172,456,1998,6,24,1998-06-24,296,1997-09-01,1997-11-10,70,226,1998-06-14,286,10,183,936.94,262.8,450.2,7,1199.74,20,10.626431718061674,226
breweri,1332456,-122.3533,38.8206,537,1997,5,4,1997-05-04,245,1996-09-01,1996-10-28,57,188,1997-04-01,212,33,151,797.36,63.43,433.2,12,860.79,21,11.142857142857142,188
breweri,1332494,-122.6093,39.2535,711,1988,6,6,1988-06-06,279,1987-09-01,1987-10-22,51,228,1988-06-09,282,-3,165,541.68,96.49,664.65,10,651.27,25,10.067248908296943,228
breweri,1332495,-122.6093,39.2535,711,1988,6,6,1988-06-06,279,1987-09-01,1987-10-22,51,228,1988-06-09,282,-3,165,541.68,96.49,664.65,10,651.27,25,10.067248908296943,228
breweri,1333828,-122.4027,38.7734,339,2005,6,4,2005-06-04,276,2004-09-01,2004-10-17,46,230,2005-05-20,261,15,161,624.89,428.98,685.4,8,1053.8700000000001,23,11.290476190476191,230
breweri,1363413,-122.4517,39.0276,620,2011,6,11,2011-06-11,283,2010-09-01,2010-10-22,51,232,2011-04-27,238,45,167,337.67,405.64,604.05,13,743.3100000000001,29,10.186266094420601,232
breweri,1368819,-122.4199,38.7619,242,1987,6,20,1987-06-20,292,1986-09-01,1986-12-29,119,173,1987-04-05,216,76,205.5,400.36,8.49,782.9,8,408.85,15,13.320114942528736,173
breweri,1368824,-122.3891,39.0172,456,1998,6,24,1998-06-24,296,1997-09-01,1997-11-10,70,226,1998-06-14,286,10,183,936.94,262.8,450.2,7,1199.74,20,10.626431718061674,226
breweri,1368834,-122.4162,38.8633,701,1991,5,31,1991-05-31,272,1990-09-01,1991-02-02,154,118,1991-04-01,212,60,213,558.56,14.620000000000001,330.25,7,573.18,11,10.214285714285714,118
breweri,1396625,-122.9819,39.6694,1424,1984,7,6,1984-07-06,309,1983-09-01,1983-10-29,58,251,1984-05-13,255,54,183.5,1410.77,380.53999999999996,479.45,8,1791.31,25,7.965079365079365,251
breweri,1398502,-122.4875,39.0883,767,1983,6,18,1983-06-18,290,1982-09-01,1982-09-16,15,275,1983-05-07,248,42,152.5,795.09,783.35,621.2,8,1578.44,26,10.397101449275363,275
breweri,1399720,-122.4469,38.6956,328,2015,5,10,2015-05-10,251,2014-09-01,2014-11-19,79,172,2015-04-09,220,31,165,633.4399999999999,53.7,579.55,4,687.14,11,12.70578034682081,172
breweri,1400323,-122.7567,39.3456,1304,2015,7,11,2015-07-11,313,2014-09-01,2014-10-23,52,261,2015-04-09,220,93,182.5,825.88,112.41,368.55,5,938.29,17,11.649618320610687,261
breweri,1400324,-122.7494,39.3561,1940,2015,7,12,2015-07-12,314,2014-09-01,2014-09-25,24,290,2015-04-09,220,94,169,1013.53,153.82,319.34999999999997,6,1167.35,21,8.205841924398625,290
breweri,1401237,-122.3776,39.0128,456,2000,6,23,2000-06-23,296,1999-09-01,1999-11-07,67,229,2000-04-19,231,65,181.5,468.24,153.25,774.25,4,621.49,16,12.683913043478261,229
breweri,1401926,-122.4214,38.8653,701,2010,5,20,2010-05-20,261,2009-09-01,2009-10-13,42,219,2010-05-29,270,-9,151.5,527.16,393.57,593.05,16,920.73,30,9.483181818181817,219
breweri,1402021,-122.38,38.8019,476,2013,5,25,2013-05-25,266,2012-09-01,2012-10-22,51,215,2013-04-09,220,46,158.5,598.74,71.11,757.1,11,669.85,23,12.006481481481481,215
breweri,1402023,-122.3492,38.8242,537,2013,6,6,2013-06-06,278,2012-09-01,2012-11-17,77,201,2013-04-09,220,58,177.5,551.12,62.06,716,11,613.1800000000001,22,12.452475247524752,201
breweri,1402025,-122.2486,38.4961,310,2013,6,6,2013-06-06,278,2012-09-01,2012-10-22,51,227,2013-04-09,220,58,164.5,549.76,64.75,832,12,614.51,24,12.50438596491228,227
breweri,1402079,-122.385,39.015,456,2010,7,1,2010-07-01,303,2009-09-01,2009-10-13,42,261,2010-05-29,270,33,172.5,381.43,189.67,823.75,22,571.1,35,11.904961832061069,261
breweri,1402084,-122.4742,39.1594,475,2010,7,1,2010-07-01,303,2009-09-01,2009-10-13,42,261,2010-06-06,278,25,172.5,373.89,181.21,936.3,21,555.1,35,10.982824427480915,261
breweri,16571245,-122.6978,40.078,941,1993,6,23,1993-06-23,295,1992-09-01,1992-10-29,58,237,1993-06-09,281,14,176.5,751.12,396.57,388.6,18,1147.69,34,8.250420168067226,237
breweri,2058591,-122.6356,39.3679,553,1984,5,2,1984-05-02,244,1983-09-01,1983-11-06,66,178,1984-05-16,258,-14,155,566.14,137.59,613.25,10,703.73,20,9.22513966480447,178
breweri,2068724,-122.6139,39.4881,746,1994,6,1,1994-06-01,273,1993-09-01,1993-11-28,88,185,1994-05-22,263,10,180.5,391.17,98.25,529.2,8,489.42,17,9.762903225806452,185
breweri,2075994,-122.4908,39.1003,767,1998,7,15,1998-07-15,317,1997-09-01,1997-10-08,37,280,1998-06-14,286,31,177,1222.71,343.7,452.3,9,1566.41,24,11.179715302491104,280
breweri,2083458,-122.6186,39.4003,742,2000,5,31,2000-05-31,273,1999-09-01,1999-10-27,56,217,2000-05-17,259,14,164.5,396.54,394.79,490.7,4,791.33,16,10.71697247706422,217
breweri,2087693,-122.5064,39.1678,645,2002,5,2,2002-05-02,243,2001-09-01,2001-10-29,58,185,2002-05-02,243,0,150.5,580.21,88.8,452.45,10,669.01,22,9.611290322580645,185
breweri,2140851,-122.5975,39.4133,444,2006,6,15,2006-06-15,287,2005-09-01,2005-11-08,68,219,2006-04-30,241,46,177.5,450.92,368.43,842.45,11,819.35,22,10.585454545454546,219
breweri,2147931,-122.5491,39.2972,521,1998,6,19,1998-06-19,291,1997-09-01,1997-11-10,70,221,1998-06-14,286,5,180.5,1014.22,311.04,536.7,9,1325.26,22,9.336936936936937,221
breweri,2148655,-122.5438,39.1598,542,2007,6,17,2007-06-17,289,2006-09-01,2006-11-11,71,218,2007-05-07,248,41,180,451.75,60.16,1020.5,9,511.91,18,10.997260273972604,218
breweri,2152506,-122.9831,39.6689,1424,2011,7,4,2011-07-04,306,2010-09-01,2010-10-22,51,255,2011-04-27,238,68,178.5,1410.31,921.41,369.85,3,2331.72,25,6.573046875,255
breweri,2269197,-123.6358,39.922,840,2009,5,12,2009-05-12,253,2008-09-01,2008-10-02,31,222,2009-04-11,222,31,142,570.72,991.23,583.6,7,1561.95,22,8.886547085201794,222
breweri,2888832,-122.6978,40.078,941,1993,6,23,1993-06-23,295,1992-09-01,1992-10-29,58,237,1993-06-09,281,14,176.5,751.12,396.57,388.6,18,1147.69,34,8.250420168067226,237
